date;death
02.12.1889;0
03.12.1889;0
04.12.1889;0
05.12.1889;0
06.12.1889;0
07.12.1889;0
08.12.1889;0
09.12.1889;0
10.12.1889;0
11.12.1889  ;0
12.12.1889  ;0
13.12.1889  ;0
14.12.1889  ;0
15.12.1889  ;2
16.12.1889  ;0
17.12.1889  ;12
18.12.1889  ;15
19.12.1889  ;15
20.12.1889  ;10
21.12.1889  ;14
22.12.1889  ;18
23.12.1889  ;20
24.12.1889  ;30
25.12.1889  ;14
26.12.1889  ;14
27.12.1889  ;56
28.12.1889  ;64
29.12.1889  ;2
30.12.1889  ;56
31.12.1889  ;24
01.01.1890  ;14
02.01.1890  ;22
03.01.1890  ;74
04.01.1890  ;46
05.01.1890  ;10
06.01.1890  ;58
07.01.1890  ;48
08.01.1890  ;60
09.01.1890  ;28
10.01.1890  ;38
11.01.1890  ;26
12.01.1890  ;0
13.01.1890  ;28
14.01.1890  ;40
15.01.1890  ;16
16.01.1890  ;14
17.01.1890  ;12
18.01.1890  ;18
19.01.1890  ;2
20.01.1890  ;12
21.01.1890  ;18
22.01.1890  ;6
23.01.1890  ;8
24.01.1890  ;4
25.01.1890  ;8
26.01.1890  ;0
27.01.1890  ;2
28.01.1890  ;6
29.01.1890  ;2
30.01.1890  ;0
31.01.1890;0
